$_1 28
$_2 25
$_3 16
$_4 7
$_5 14
$_6 3
$_7 5
$_8 4
$_9 5
%,_ 1
%._ 14
%;_ 2
%_a 5
%_b 1
%_d 1
%_f 10
%_h 1
%_i 17
%_o 10
%_p 1
%_r 1
%_s 6
%_t 7
%_u 2
%_w 1
&_c 5
&_j 1
&_v 2
&_w 2
''_ 150
'_( 4
'_` 5
'_a 18
'_b 8
'_c 5
'_f 1
'_h 9
'_i 19
'_j 1
'_l 3
'_m 13
'_n 2
'_o 3
'_p 3
'_q 1
'_r 2
'_s 46
'_t 16
'_u 2
'_v 2
'_w 5
'_y 1
'd_ 2
'm_ 2
'mo 1
're 5
's. 2
's_ 190
't. 2
't_ 52
've 2
(al 1
(ca 1
(du 1
(ev 1
(ko 1
(ma 1
(ni 1
(so 1
(th 2
(us 2
),_ 4
)._ 3
)_b 1
)_o 1
)_t 2
)_w 1
*_i 1
,'' 58
,00 23
,05 1
,12 1
,14 1
,23 1
,28 1
,29 1
,30 1
,32 1
,37 1
,39 1
,45 1
,62 1
,70 1
,84 1
,98 1
,_$ 4
,_1 8
,_2 2
,_3 3
,_4 6
,_5 4
,_6 4
,_9 1
,_` 12
,_a 135
,_b 38
,_c 40
,_d 18
,_e 14
,_f 33
,_g 6
,_h 30
,_i 40
,_j 11
,_k 1
,_l 10
,_m 56
,_n 28
,_o 17
,_p 27
,_r 18
,_s 75
,_t 144
,_u 15
,_v 10
,_w 77
,_y 2
--2 1
--3 1
--4 1
--a 13
--b 1
--c 4
--d 1
--e 2
--f 2
--h 3
--i 3
--m 4
--o 4
--p 2
--s 3
--t 9
--u 1
--w 7
-19 3
-27 1
-3' 1
-3, 1
-30 1
-33 1
-3_ 6
-4. 1
-80 1
-87 1
-88 1
-90 1
-a- 1
-a_ 4
-ab 4
-ag 1
-an 8
-ar 2
-at 1
-ba 12
-bo 4
-by 1
-ca 8
-ch 4
-co 8
-da 8
-de 3
-di 2
-do 5
-dr 1
-du 1
-en 6
-es 2
-ev 1
-ey 1
-fa 3
-fe 1
-fo 3
-fr 6
-fu 1
-ga 1
-go 1
-ha 2
-he 1
-hi 6
-ho 4
-if 2
-im 1
-in 2
-ja 2
-je 1
-ki 4
-la 1
-le 2
-li 3
-lo 3
-ma 1
-me 2
-mi 1
-mo 3
-mr 1
-na 1
-oc 1
-of 3
-ol 8
-on 2
-op 1
-or 2
-ou 2
-ow 1
-pa 1
-pl 1
-pr 13
-ra 4
-re 4
-ri 2
-se 7
-sh 4
-si 3
-sm 1
-sp 1
-st 5
-su 4
-ta 1
-te 8
-th 7
-ti 2
-to 3
-tr 1
-tw 1
-un 1
-up 1
-ut 1
-vi 1
-vo 1
-wa 1
-we 2
-wh 5
-wi 5
-ye 10
-yi 1
.'' 42
.'_ 1
.'s 7
.)_ 2
.,_ 38
.-j 1
... 7
.._ 5
.00 1
.01 1
.03 1
.04 1
.12 3
.14 1
.19 1
.1_ 7
.22 1
.25 1
.29 3
.2_ 6
.34 1
.37 2
.38 1
.39 1
.3_ 8
.44 1
.45 3
.47 1
.4_ 5
.53 1
.55 1
.56 1
.57 1
.5_ 11
.62 1
.6_ 7
.73 2
.74 1
.75 2
.79 1
.7_ 3
.80 1
.82 1
.87 2
.8_ 3
.90 1
.95 3
.9_ 5
.;_ 1
._( 2
._1 2
._2 1
._3 4
._9 1
.__ 76
._` 56
._a 82
._b 49
._c 40
._d 21
._e 13
._f 26
._g 13
._h 39
._i 74
._j 16
._k 7
._l 16
._m 53
._n 20
._o 20
._p 27
._r 13
._s 68
._t 182
._u 14
._v 4
._w 43
._y 38
._z 1
.a. 1
.h. 2
.m. 2
.p. 5
.r. 4
.s. 75
.v. 3
.w. 1
/2_ 1
/mc 6
0,0 12
0,8 1
0,9 1
0,_ 9
0-d 2
0-l 1
0-s 1
0-y 1
0.0 1
0.1 2
0.2 2
0.3 3
0.4 2
0.5 3
0.7 1
0.9 2
0._ 9
00, 9
00. 3
000 22
004 1
00_ 29
01. 1
01_ 4
03, 1
03_ 1
04_ 2
05. 1
056 1
09. 1
0_% 13
0_a 4
0_b 6
0_c 2
0_d 1
0_e 2
0_f 4
0_h 1
0_i 3
0_m 19
0_p 5
0_q 2
0_r 1
0_s 4
0_t 8
0_w 3
0_y 4
0s, 3
0s. 2
0s_ 1
1,0 5
1,1 1
1,2 1
1,3 1
1,6 1
1,_ 1
1.. 1
1.5 3
1.6 1
1.8 1
1.9 1
1._ 2
1/2 1
10- 1
10. 2
100 6
101 1
109 1
10_ 5
11, 2
11_ 2
11t 1
12- 1
12. 1
120 3
124 1
125 2
127 1
12_ 7
13, 2
13. 1
13_ 2
14- 1
140 1
142 1
14_ 4
15. 2
150 2
15_ 3
16, 2
16. 1
160 1
16_ 2
17- 1
17. 3
17_ 2
18. 1
188 2
18_ 4
19. 1
190 2
191 3
192 2
193 2
195 7
197 8
198 38
199 15
19_ 5
1_% 5
1_a 3
1_b 2
1_d 1
1_m 6
1_o 3
1_p 3
1_s 1
1_t 1
1_u 1
1_y 1
1th 1
2's 1
2,3 1
2,7 1
2,_ 1
2-m 1
2-w 1
2.1 1
2.2 5
2.4 2
2.5 2
2.6 2
2.7 2
2.8 3
2._ 1
20, 4
20. 1
20_ 7
20s 1
21, 1
212 1
21_ 3
228 1
22_ 2
23, 1
234 1
236 2
237 1
23_ 1
240 1
241 1
245 1
24_ 2
25, 1
25. 1
250 3
25_ 6
26, 1
27. 1
271 1
27_ 2
28, 1
288 1
28_ 2
29. 1
295 1
298 1
29_ 4
2_% 10
2_a 1
2_b 6
2_c 1
2_i 1
2_m 2
2_p 1
2_y 3
3's 1
3). 1
3,0 2
3,2 2
3,3 1
3,_ 5
3-y 1
3.0 1
3.1 2
3.2 1
3.4 1
3.7 2
3.9 1
30, 3
30- 2
30. 1
301 1
303 1
30_ 4
31, 2
31_ 1
320 1
321 1
325 1
328 1
331 1
339 1
33_ 4
34. 1
340 1
34_ 2
350 2
352 1
35_ 1
36- 1
36. 2
361 1
37, 2
37- 2
37. 3
370 1
375 1
376 1
37_ 1
38. 2
38_ 2
393 1
39_ 2
3_% 7
3_1 1
3_a 1
3_b 3
3_d 3
3_m 7
3_p 1
3_r 1
3_s 1
3_t 1
3_w 1
3_y 2
4,3 1
4-h 1
4-y 2
4.2 1
4.3 1
4.4 1
4.7 1
4.8 1
40, 3
40- 1
400 4
40_ 6
415 2
41_ 3
42_ 1
43_ 1
44_ 1
45, 2
450 2
453 1
45_ 5
46_ 1
47, 1
47. 1
47_ 1
48_ 1
497 1
49_ 2
4_% 6
4_- 1
4_b 5
4_c 1
4_d 1
4_e 1
4_l 1
4_m 3
4_u 1
5), 2
5)_ 1
5,0 2
5,1 1
5,_ 6
5.1 1
5.2 1
5.3 1
5.4 1
5.5 2
5.6 2
5.8 1
5.9 1
5._ 2
50, 3
50- 1
50. 3
500 5
50_ 13
50s 2
52- 1
52. 1
52_ 1
53, 1
53_ 3
54- 1
55, 1
550 1
55_ 4
56. 2
56_ 2
570 1
57_ 1
58_ 1
59, 1
59. 1
5_% 9
5_a 2
5_b 5
5_c 6
5_d 1
5_m 8
5_r 1
5_t 1
5_y 4
6,0 3
6,_ 5
6-8 1
6-m 1
6.1 2
6.7 2
6._ 3
600 1
60_ 3
61, 1
61_ 1
620 1
625 1
63, 2
63- 1
64- 1
64_ 1
67, 2
67_ 1
68_ 1
6_% 10
6_b 1
6_i 1
6_m 1
6_p 1
6_u 1
7,_ 6
7-8 1
7-a 1
7-y 2
7.0 1
7.3 3
7.5 3
7.6 1
7.9 3
7._ 5
700 1
701 1
705 1
70_ 3
71, 1
71_ 1
72, 1
72. 1
72_ 1
73) 1
737 1
73_ 2
74_ 1
75, 2
75_ 3
76, 1
767 3
76_ 1
77. 1
77_ 3
79_ 2
7_% 5
7_a 5
7_b 2
7_c 2
7_d 1
7_m 1
7_o 1
7_p 1
7_s 1
7_t 3
8,4 1
8,_ 9
8.0 1
8.1 3
8.2 1
8.3 3
8.4 2
8.5 2
8.9 1
8._ 2
80. 1
80_ 2
80s 1
81. 1
81_ 1
82_ 1
83. 1
84. 1
841 1
84_ 1
85, 1
85. 2
85_ 1
86, 3
86- 1
86. 2
87- 1
87. 3
875 1
87_ 7
88, 7
88. 1
88_ 6
89, 2
89; 1
89_ 5
8_% 5
8_b 5
8_c 1
8_d 2
8_h 2
8_i 1
8_m 3
8_p 1
8_t 2
9,_ 4
9.1 1
9.3 2
9.4 1
9.6 2
9.7 1
9.8 1
9._ 1
90, 1
90. 4
900 1
901 1
90_ 10
90s 2
91. 2
917 2
92' 1
920 1
929 1
93, 1
933 1
934 1
95) 3
95, 1
950 2
953 1
955 1
956 2
95_ 2
97, 1
97. 1
972 1
975 1
976 1
977 4
979 1
98. 2
980 2
981 2
984 1
985 3
986 5
987 9
988 9
989 8
99, 1
99. 1
990 11
991 1
992 1
997 1
999 1
9;_ 1
9_% 10
9_a 2
9_b 6
9_c 1
9_e 1
9_i 1
9_m 3
9_p 1
9_r 1
9_s 1
9_w 1
9_y 1
:_` 5
:_a 2
:_b 1
:_d 1
:_f 1
:_i 1
:_m 1
:_n 2
:_s 1
:_t 3
:_w 1
;_a 6
;_d 2
;_j 1
;_m 1
;_n 1
;_o 2
;_p 1
;_s 3
;_t 5
;_w 1
?'' 6
?_` 1
?_e 1
?_f 1
?_t 1
_$_ 103
_%, 1
_%. 14
_%; 2
_%_ 63
_&_ 10
_(a 1
_(c 1
_(d 1
_(e 1
_(k 1
_(m 1
_(n 1
_(s 1
_(t 2
_(u 2
_-- 62
_0. 10
_1, 3
_1. 5
_1/ 1
_10 16
_11 5
_12 11
_13 5
_14 5
_15 5
_16 6
_17 4
_18 7
_19 79
_1_ 4
_2, 2
_2. 15
_20 7
_21 4
_22 2
_23 5
_24 4
_25 6
_26 1
_27 2
_28 1
_29 2
_2_ 5
_3, 1
_3. 6
_30 10
_31 2
_32 3
_33 4
_34 1
_35 4
_36 2
_37 6
_38 3
_3_ 1
_4, 1
_4. 2
_40 11
_41 3
_43 1
_45 5
_46 1
_47 2
_48 1
_49 3
_4_ 1
_5, 1
_5. 6
_50 15
_52 2
_53 1
_54 1
_55 4
_57 1
_58 1
_59 2
_5_ 1
_6, 1
_60 3
_61 1
_63 3
_64 2
_68 1
_6_ 2
_7. 3
_70 3
_71 1
_72 2
_73 2
_76 3
_7_ 1
_8, 2
_8. 9
_83 1
_84 1
_85 1
_86 1
_88 1
_8_ 2
_9. 4
_90 4
_95 1
_98 1
_99 1
_9_ 4
___ 74
__` 9
__a 6
__b 2
__c 2
__d 1
__e 2
__f 4
__h 1
__i 3
__k 1
__l 2
__m 11
__n 3
__o 2
__p 3
__r 1
__s 2
__t 18
__u 1
__w 1
_`_ 2
_`` 153
_a. 4
_a_ 377
_ab 64
_ac 62
_ad 75
_ae 2
_af 28
_ag 30
_ah 2
_ai 10
_ak 2
_al 100
_am 35
_an 503
_ap 38
_aq 1
_ar 124
_as 157
_at 101
_au 37
_av 15
_aw 11
_b. 2
_ba 86
_be 212
_bi 66
_bl 20
_bo 76
_br 43
_bu 113
_by 105
